value,row_count,coverage_axis
energy_retaining_bank,120,primitive_id
glide,120,primitive_id
lift_dwell_arc,120,primitive_id
lift_entry,120,primitive_id
mild_turn_left,120,primitive_id
mild_turn_right,120,primitive_id
recovery,120,primitive_id
safe_exit_or_recovery_handoff,120,primitive_id
inflight_only,600,entry_role
launch_capable,120,entry_role
terminal_or_recovery,240,entry_role
0,480,candidate_index
1,480,candidate_index
inflight_boundary_near,96,start_state_family
inflight_lift_region,144,start_state_family
inflight_nominal,240,start_state_family
inflight_recovery_edge,96,start_state_family
launch_gate,384,start_state_family
W0,320,W_layer
W1,640,W_layer
dry_air,320,environment_mode
gaussian_four,320,environment_mode
gaussian_single,320,environment_mode
solved,960,lqr_synthesis_status
active_timing_aware_w01,960,controller_design_role
history_backed_fifo,528,timing_state_source
not_evaluated_blocked_before_rollout,432,timing_state_source
True,960,active_timing_aware_controller_used
False,960,baseline_controller_active
accepted,40,outcome_class
failed,282,outcome_class
rejected,432,outcome_class
weak,206,outcome_class
blocked,432,boundary_use_class
continuation_valid,42,boundary_use_class
episode_terminal_useful,204,boundary_use_class
hard_failure,282,boundary_use_class
