Variable,Value
V_operate (m/s),3.691627496056665
alpha (deg),7.753686083543195
phi (deg),34.783965137398646
r_target (m),2.0
n_load,1.2175686918884028
TOGW (kg),0.06669295994643562
L/D_turn,9.200887164924078
sink_rate (m/s),0.4885192026317006
static_margin,0.10000000999217042
V_ht,0.39999999007972065
V_vt,0.019999990014030328
x_nose (m),-0.06301541981330826
x_tail (m),0.3699357818463473
b_w (m),0.8000000079900585
dihedral_w (deg),1.6744177472302715
c_root_w (m),0.13694873423036655
taper_w,1.0
S_w (m^2),0.10955898847852166
l_ht (m),0.3699357818463473
b_ht (m),0.18012949697597738
c_root_ht (m),0.09006474848798869
taper_ht,1.0
S_ht (m^2),0.016223317840409323
l_vt (m),0.3699357818463473
b_vt (m),0.09734994707127895
c_root_vt (m),0.048674973535639474
taper_vt,1.0
S_vt (m^2),0.004738506097390406
objective_total,48.851920263170065
penalty,1.3357065010714607e-07
x_cg (m),0.020118462473258335
y_cg (m),-2.497485484933453e-18
z_cg (m),0.00222117034852985
I_xx (kg m^2),0.0011557838193297521
I_yy (kg m^2),0.0005522254077497011
I_zz (kg m^2),0.001703894474716876
I_xy (kg m^2),1.8198801777275987e-21
I_xz (kg m^2),-8.919136367619566e-06
I_yz (kg m^2),1.3005155283241956e-21
mass_wing_kg,0.019996499484754977
mass_htail_surfaces_kg,0.002642555292306558
mass_vtail_surfaces_kg,0.00041713509848993963
mass_linkages_kg,0.001
mass_Receiver_kg,0.005
mass_battery_kg,0.013
mass_servo_kg,0.0088
mass_boom_kg,0.0038965608149369
mass_pod_kg,0.007
mass_ballast_kg,-9.999344299956765e-09
mass_glue_weight_kg,0.004940219255291527
wing root LE x (m),-0.034237183557591644
wing root LE y (m),0.0
wing root LE z (m),0.0
wing tip LE x (m),-0.034237183557591644
wing tip LE y (m),0.399829206513389
wing tip LE z (m),0.011687977365531352
htail root LE x (m),0.2798710333583586
htail root LE y (m),0.0
htail root LE z (m),0.0
htail tip LE x (m),0.2798710333583586
htail tip LE y (m),0.09006474848798869
htail tip LE z (m),0.0
vtail root LE x (m),0.3212608083107078
vtail root LE y (m),0.0
vtail root LE z (m),0.0
vtail tip LE x (m),0.3212608083107078
vtail tip LE y (m),0.0
vtail tip LE z (m),0.09734994707127895
aero_F_g[0],-0.02168610130389647
aero_F_g[1],1.2828887414548296e-17
aero_F_g[2],0.8010015887242047
aero_M_g[0],-6.019783608289388e-19
aero_M_g[1],-9.639881456285655e-12
aero_M_g[2],4.230115153646148e-18
aero_F_b,0.02168610130389647
aero_F_w,-0.08657904029497088
aero_M_b,6.019783608289388e-19
aero_M_w,2.576998683016392e-20
aero_L,0.7966039806014433
aero_Y,1.2828887414548296e-17
aero_D,0.08657904029497088
aero_l_b,6.019783608289388e-19
aero_m_b,-9.639881456285655e-12
aero_n_b,-4.230115153646148e-18
aero_CL,0.8710697266897844
aero_CY,1.4028119022814173e-17
aero_CD,0.09467236268373157
aero_Cl,8.228133642506289e-19
aero_Cm,-7.697046654331599e-11
aero_Cn,-5.781927569533046e-18
wing_components_comp1_L (N),0.754865528469232
wing_components_comp1_D (N),0.03336319410237043
wing_components_comp1_Y (N),0.0
wing_components_comp1_l_b,-0.0
wing_components_comp1_m_b,0.01156605307320097
wing_components_comp1_n_b,-0.0
wing_components_comp1_span_eff (m),0.7996584859562267
wing_components_comp1_oswald,0.7994486175581316
wing_components_comp2_L (N),0.0414213017735471
wing_components_comp2_D (N),0.004296795712900488
wing_components_comp2_Y (N),0.0
wing_components_comp2_l_b,-2.710505431213761e-20
wing_components_comp2_m_b,-0.011526897533345112
wing_components_comp2_n_b,-8.470329472543003e-22
wing_components_comp2_span_eff (m),0.18012949697597738
wing_components_comp2_oswald,0.8232692748986458
wing_components_comp3_L (N),-2.710505431213761e-20
wing_components_comp3_D (N),0.00117137448252544
wing_components_comp3_Y (N),1.2828887414548296e-17
wing_components_comp3_l_b,6.300068796906618e-19
wing_components_comp3_m_b,4.888020989527742e-06
wing_components_comp3_n_b,-4.230179386262644e-18
wing_components_comp3_span_eff (m),0.09734994707127895
wing_components_comp3_oswald,0.8232692748986458
fuselage_components_comp1_L (N),0.0003171503586640358
fuselage_components_comp1_D (N),0.0004114230053791624
fuselage_components_comp1_Y (N),0.0
fuselage_components_comp1_l_b,-9.234645495853943e-22
fuselage_components_comp1_m_b,-4.404357048526618e-05
fuselage_components_comp1_n_b,9.11265563750452e-22
fuselage_components_comp1_span_eff (m),0.004055451774444796
fuselage_components_comp1_oswald,0.95
aero_D_profile,0.03924278730317552
aero_D_induced,0.04733625299179534
aero_CLa,4.586272336633304
aero_CDa,0.9020853171479746
aero_CYa,-2.108771982893771e-22
aero_Cla,3.2655211633612974e-19
aero_Cma,-0.45862727949014515
aero_Cna,4.6276863680250426e-20
aero_x_np,0.03381333726471007
aero_CLb,-5.766491943008703e-06
aero_CDb,-7.063479204621326e-07
aero_CYb,0.04312906060124699
aero_Clb,-0.02499999018191885
aero_Cmb,7.738629191911605e-07
aero_Cnb,0.021417356917177305
aero_x_np_lateral,-0.37715162562999127
aero_CLp,-0.014245641348664682
aero_CDp,-0.0006433399024063923
aero_CYp,-0.07033103842224005
aero_Clp,-0.6833130745183502
aero_Cmp,-0.0017489313713506135
aero_Cnp,-0.17177171150407844
aero_CLq,1.0971514511816103
aero_CDq,0.17966262064776636
aero_CYq,-1.4140755786462994e-18
aero_Clq,3.814486188978442e-17
aero_Cmq,-5.5766742321574485
aero_Cnq,-3.58106877684318e-19
aero_CLr,-0.00018709241700332058
aero_CDr,3.3350927436393007e-06
aero_CYr,0.07400053044446299
aero_Clr,0.18539010257538904
aero_Cmr,-4.298796725787666e-05
aero_Cnr,-0.01905372479839742
