session_label,source_session_root,calibration_profile_id,calibration_profile_hash,vicon_calibration_source,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,termination_reason,termination_group,launch_speed_m_s,duration_s,x0_m,y0_m,z0_m,launch_x_offset_m,launch_y_offset_m,launch_z_offset_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,speed0_m_s,horizontal_speed0_m_s,flight_path_angle_proxy0_deg,sideslip_proxy0_deg,vicon_offset_x_m,vicon_offset_y_m,vicon_offset_z_m,x_end_m,y_end_m,z_end_m,dx_m,dy_m,dz_m,altitude_loss_m,horizontal_distance_m,glide_ratio_x_over_altloss,glide_ratio_horizontal_over_altloss,sink_rate_m_s,mean_speed_m_s,mean_forward_speed_m_s,max_abs_phi_deg,max_abs_theta_deg,max_abs_psi_deg,max_abs_p_rad_s,max_abs_q_rad_s,max_abs_r_rad_s,mean_rate_confidence,min_rate_confidence,spike_downweighted_fraction,body_rate_limited_fraction,sample_count
20260602_225953,04_Flight_Test/05_Results/cal/n30/20260602_225953,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v001,neutral,0,0,0,exit_gate_floor,floor,6.824543586,1.6790482,1.40596562,2.201857593,1.610490045,0.1059656205,0.2018575932,0.06049004498,6.434561017,2.250159636,-0.03391812724,0.4550470831,0.9910534846,-1.259668752,8.390414807,0.8448968863,-6.02992413,6.816740006,6.816655622,0.2850884084,19.27468149,4.136158795,2.411427206,0.03414746063,5.927079753,3.435220393,0.385102216,4.521114132,1.2333628,-1.225387829,1.225387829,4.686326577,3.689537324,3.824361942,0.72981099,3.495517284,2.477463834,55.24541884,43.88044055,20.95807607,3.806408522,1.990541975,1.492167915,0.9328244275,0.5,0.03816793893,0.01526717557,262
20260602_225953,04_Flight_Test/05_Results/cal/n30/20260602_225953,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v002,neutral,0,0,0,exit_gate_front_wall,front_wall,5.808367155,1.4039163,1.258443945,2.115609882,1.619402072,-0.04155605505,0.1156098818,0.06940207164,5.791858327,0.1522210924,-0.5122623078,0.8250010066,-0.2673089577,-0.5700517573,4.345737539,-8.971805131,7.537325824,5.81645999,5.793858313,5.05265132,1.505495882,4.136158795,2.411427206,0.03414746063,6.610438375,2.894930679,0.739510033,5.35199443,0.7793207976,-0.8798920387,0.8798920387,5.408436491,6.08255808,6.146704656,0.6267410947,4.087447791,3.630347035,20.67196145,26.61583638,12.61622253,1.760079065,1.684096042,1.215310266,0.9460526316,0.5,0.008771929825,0,228
20260602_225953,04_Flight_Test/05_Results/cal/n30/20260602_225953,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,exit_gate_front_wall,front_wall,6.239680377,1.5527587,1.315749792,2.161881813,1.62434138,0.01574979233,0.1618818132,0.07434138001,6.133186859,1.090146083,-0.3841901056,0.1648480125,-0.3911242023,-1.534279713,1.748980134,-6.602066946,0.07858523574,6.241153865,6.229317742,3.529218781,10.0788027,4.136158795,2.411427206,0.03414746063,6.601986653,4.172701406,0.5038975579,5.286236861,2.010819592,-1.120443822,1.120443822,5.655766578,4.717984745,5.0477913,0.7215827044,4.01159752,2.64738492,25.47053773,32.58513919,42.28702233,1.653086879,2.301034337,1.747838942,0.9429133858,0.5,0.0157480315,0,254
20260602_225953,04_Flight_Test/05_Results/cal/n30/20260602_225953,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,exit_gate_floor,floor,6.009077436,1.6164924,1.289424354,2.180532599,1.604553654,-0.01057564618,0.1805325988,0.05455365433,5.942449938,0.9246731213,0.07340901989,0.5080515074,0.8704264238,-0.2761135805,-0.8259189978,-0.6300084772,-1.49828714,6.014409408,6.013961394,-0.6993423912,8.84456361,4.136158795,2.411427206,0.03414746063,6.214737658,3.192346876,0.3964261434,4.925313304,1.011814278,-1.208127511,1.208127511,5.028168581,4.076815783,4.161951893,0.7473759301,3.563203291,2.759029552,10.25243886,32.03781992,29.00517922,1.700130607,1.714995975,0.5994688825,0.9398876404,0.5,0.02247191011,0,267
20260602_225953,04_Flight_Test/05_Results/cal/n30/20260602_225953,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,exit_gate_floor,floor,6.27519553,1.6165648,1.267957436,2.110185901,1.552269281,-0.03204256386,0.1101859006,0.002269280967,5.945451409,2.046324699,0.0415171476,0.4237840377,0.5803133161,-1.639915228,0.4719993734,-4.050991111,-8.149144805,6.28789002,6.287752956,-0.3783104685,18.99260422,4.136158795,2.411427206,0.03414746063,6.406231333,4.163512092,0.3891906427,5.138273897,2.053326191,-1.163078638,1.163078638,5.533354054,4.417821571,4.75750639,0.7194754199,3.810974663,2.428220858,27.26914374,34.17188985,40.06072816,2.666236057,2.13135019,1.639915228,0.9448669202,0.5,0.01140684411,0.003802281369,263
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v001,neutral,0,0,0,exit_gate_front_wall,front_wall,6.165892917,1.4001084,1.279158047,2.190480706,1.523128114,-0.02084195277,0.1904807057,-0.02687188563,6.142417162,0.562504236,-0.06774491098,0.3471607,0.1769278904,-1.010685057,6.62735128,-5.037014818,-1.232670535,6.168491629,6.168119616,0.6292584553,5.232382235,4.136158795,2.411427206,0.03414746063,6.605002223,2.480886105,0.7137017796,5.325844175,0.290405399,-0.8094263347,0.8094263347,5.333755851,6.579776252,6.589550675,0.5781169049,4.068377432,3.814175051,20.62370713,27.21479276,9.127891652,1.705162936,1.762198139,1.119563927,0.9364806867,0.5,0.03004291845,0,233
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v002,neutral,0,0,0,exit_gate_floor,floor,6.183336066,1.6023639,1.268312514,2.016922051,1.53296913,-0.03168748586,0.0169220509,-0.01703087002,6.129191941,0.9244988711,-0.5172773739,0.6486085304,0.4159646384,-1.460285466,10.38972607,-4.974055737,-1.820160464,6.220069766,6.198523373,4.770377323,8.577569238,4.136158795,2.411427206,0.03414746063,5.772558134,1.792611104,0.3761332299,4.50424562,-0.2243109468,-1.1568359,1.1568359,4.509827492,3.893590802,3.898415922,0.721955793,3.464399945,2.47608379,42.68150748,38.06256117,35.13254747,3.063936162,2.006752591,1.498509922,0.92,0.5,0.06666666667,0.03529411765,255
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,exit_gate_front_wall,front_wall,6.770074861,1.7022378,1.355268194,2.098155712,1.554322433,0.05526819383,0.09815571233,0.004322433244,6.789668691,0.3939407797,-0.1687264313,0.3635556488,0.1818939921,0.1183881814,-2.627541715,-5.103451236,1.94246753,6.803180056,6.801087433,1.421144766,3.320613765,4.136158795,2.411427206,0.03414746063,6.614225466,2.655122822,0.527280452,5.258957273,0.5569671094,-1.027041981,1.027041981,5.288368742,5.120489102,5.149126169,0.6033481229,3.816227788,3.181608809,22.30866354,38.03144121,11.18524623,2.546400359,2.131261605,1.137385963,0.9379770992,0.5,0.02671755725,0.007633587786,262
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,exit_gate_floor,floor,5.085632106,1.3441728,1.400935174,2.190223793,1.566131165,0.1009351739,0.1902237925,0.0161311645,4.863674181,1.473040383,0.1306688423,-0.2943113109,-0.007358309683,-0.919539734,-2.087176841,-6.382245032,-7.411654789,5.083527207,5.081847549,-1.472913895,16.84976372,4.136158795,2.411427206,0.03414746063,5.85120592,3.315207602,0.3957346631,4.450270746,1.12498381,-1.170396501,1.170396501,4.590261243,3.802361628,3.921971091,0.8707187806,3.629878034,2.755590561,4.784856257,21.62212347,21.80334915,0.3405869304,1.623984152,0.919539734,0.947815534,0.5,0.004854368932,0,206
20260602_231554,04_Flight_Test/05_Results/cal/n30/20260602_231554,,,,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,exit_gate_floor,floor,5.715988546,1.5734699,1.268387805,2.174118628,1.588063883,-0.03161219469,0.1741186281,0.03806388305,5.068636763,2.724129525,-0.3309826881,-0.1057454758,-0.1023913551,-1.663944333,-3.172723662,-3.766807402,-15.91371645,5.763810358,5.754299289,3.291980104,28.25572532,4.136158795,2.411427206,0.03414746063,6.371566249,3.770032232,0.3872944312,5.103178444,1.595913604,-1.200769452,1.200769452,5.346902885,4.24992361,4.452897163,0.763134682,3.81467947,2.700821958,28.60263729,30.40516623,27.93031623,1.55668445,1.69221163,1.7223916,0.946484375,0.5,0.0078125,0,256
