value,row_count,coverage_axis
energy_retaining_bank,9600,primitive_id
glide,9600,primitive_id
launch_capture_energy_build,9600,primitive_id
launch_capture_glide_stabilise,9600,primitive_id
launch_capture_lift_seek,9600,primitive_id
launch_capture_safe_handoff,9600,primitive_id
launch_capture_shallow_left,9600,primitive_id
launch_capture_shallow_right,9600,primitive_id
lift_dwell_arc,9600,primitive_id
lift_entry,9600,primitive_id
mild_turn_left,9600,primitive_id
mild_turn_right,9600,primitive_id
recovery,9600,primitive_id
safe_exit_or_recovery_handoff,9600,primitive_id
inflight_only,48000,entry_role
launch_capable,67200,entry_role
terminal_or_recovery,19200,entry_role
0,4200,candidate_index
1,4200,candidate_index
10,4200,candidate_index
11,4200,candidate_index
12,4200,candidate_index
13,4200,candidate_index
14,4200,candidate_index
15,4200,candidate_index
16,4200,candidate_index
17,4200,candidate_index
18,4200,candidate_index
19,4200,candidate_index
2,4200,candidate_index
20,4200,candidate_index
21,4200,candidate_index
22,4200,candidate_index
23,4200,candidate_index
24,4200,candidate_index
25,4200,candidate_index
26,4200,candidate_index
27,4200,candidate_index
28,4200,candidate_index
29,4200,candidate_index
3,4200,candidate_index
30,4200,candidate_index
31,4200,candidate_index
4,4200,candidate_index
5,4200,candidate_index
6,4200,candidate_index
7,4200,candidate_index
8,4200,candidate_index
9,4200,candidate_index
inflight_boundary_near,13440,start_state_family
inflight_lift_region,20160,start_state_family
inflight_nominal,33600,start_state_family
inflight_recovery_edge,13440,start_state_family
launch_gate,53760,start_state_family
W0,44800,W_layer
W1,89600,W_layer
dry_air,44800,environment_mode
gaussian_four,44800,environment_mode
gaussian_single,44800,environment_mode
solved,134400,lqr_synthesis_status
active_timing_aware_w01,134400,controller_design_role
history_backed_fifo,99840,timing_state_source
not_evaluated_blocked_before_rollout,34560,timing_state_source
True,134400,active_timing_aware_controller_used
False,134400,baseline_controller_active
accepted,32896,outcome_class
failed,35209,outcome_class
rejected,34560,outcome_class
weak,31735,outcome_class
blocked,34560,boundary_use_class
continuation_valid,60599,boundary_use_class
episode_terminal_useful,4032,boundary_use_class
hard_failure,35209,boundary_use_class
