value,row_count,coverage_axis
energy_retaining_bank,10,primitive_id
glide,10,primitive_id
lift_dwell_arc,10,primitive_id
lift_entry,10,primitive_id
mild_turn_left,10,primitive_id
mild_turn_right,10,primitive_id
recovery,10,primitive_id
safe_exit_or_recovery_handoff,10,primitive_id
inflight_only,50,entry_role
launch_capable,10,entry_role
terminal_or_recovery,20,entry_role
0,40,candidate_index
1,40,candidate_index
inflight_boundary_near,8,start_state_family
inflight_lift_region,12,start_state_family
inflight_nominal,20,start_state_family
inflight_recovery_edge,8,start_state_family
launch_gate,32,start_state_family
W0,32,W_layer
W1,48,W_layer
dry_air,32,environment_mode
gaussian_four,24,environment_mode
gaussian_single,24,environment_mode
solved,80,lqr_synthesis_status
active_timing_aware_w01,80,controller_design_role
history_backed_fifo,44,timing_state_source
not_evaluated_blocked_before_rollout,36,timing_state_source
True,80,active_timing_aware_controller_used
False,80,baseline_controller_active
accepted,16,outcome_class
failed,15,outcome_class
rejected,36,outcome_class
weak,13,outcome_class
blocked,36,boundary_use_class
continuation_valid,29,boundary_use_class
hard_failure,15,boundary_use_class
