split,session_label,calibration_profile_hash,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,replay_status,replay_policy,replay_dt_s,replay_command_source,actual_termination_group,sim_first_exit_reason,sim_first_exit_time_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,actual_x_end_m,actual_y_end_m,actual_z_end_m,sim_x_end_m,sim_y_end_m,sim_z_end_m,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_glide_ratio_x_over_altloss,sim_glide_ratio_x_over_altloss,glide_ratio_residual_actual_minus_sim,actual_final_phi_deg,sim_final_phi_deg,actual_final_theta_deg,sim_final_theta_deg,actual_final_psi_deg,sim_final_psi_deg,max_abs_sim_phi_deg,max_abs_sim_theta_deg,max_abs_sim_p_rad_s,max_abs_sim_q_rad_s,max_abs_sim_r_rad_s
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v006,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.28,1.4004305,1.282377403,2.151396632,1.585956795,4.938562563,1.086732298,-0.1244416853,0.2612612538,-0.2022851802,-0.2812470568,2.043236396,-3.966392898,-1.189635523,5.649732353,3.083027738,0.3964614743,6.341913796,3.368825475,0.1931437825,4.367354949,5.059536393,-0.6921814434,0.9316311053,1.217428843,-0.2857977377,1.18949532,1.392813012,-0.2033176917,0.8493783306,0.9945606097,-0.1451822791,3.671603305,3.632602761,0.03900054432,-2.491734714,12.18871095,-13.66685487,21.37060581,-17.59434677,28.11849318,12.18871095,21.37060581,0.8305831763,0.9282697809,0.7240079742
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v007,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.34,1.4842162,1.273114041,2.111557714,1.721342154,4.849403687,1.223409091,-0.2251240738,0.1339445147,0.2982640509,-0.8102319794,-2.339212512,1.746877072,-4.645805041,5.706305256,3.651825586,0.3963806765,5.702582175,2.106416155,0.05945462602,4.433191216,4.429468135,0.003723081013,1.540267872,-0.00514155913,1.545409432,1.324961478,1.661887528,-0.3369260504,0.8927011292,1.119707175,-0.2270060456,3.345901968,2.665323651,0.6805783166,21.021221,1.404059388,-23.05912875,27.371243,-33.73712609,2.544583035,11.56885962,27.371243,0.4943887562,0.6969615867,0.8102319794
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v008,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.345,1.4844281,1.278110724,2.105657835,1.640083395,5.084099198,1.504847576,-0.4293241497,0.1472329078,0.6712266861,-1.095028853,6.801326949,0.6604395072,-8.43562339,5.300337357,3.181433594,0.3926985862,5.973230944,2.921203479,0.07870057832,4.022226633,4.69512022,-0.6728935869,1.07577576,0.8155456444,0.2602301152,1.247384809,1.561382817,-0.3139980078,0.8403133899,1.051841323,-0.2115279331,3.224527512,3.007026957,0.2175005542,31.80883246,15.4949563,-25.25925784,24.68474616,-10.75139537,34.85485875,15.49962923,24.68474616,0.7023154313,0.7011575293,1.095028853
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v009,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.39,1.4392856,1.290099128,2.180765631,1.639588914,5.438040071,1.095859268,-0.1874194219,0.179381679,0.07215662408,-0.1855036784,8.777355247,-1.447496389,-1.405374085,6.15381408,2.603462664,0.3966145915,6.675240111,4.08012521,0.4406850432,4.863714952,5.385140983,-0.5214260309,0.4226970331,1.899359579,-1.476662546,1.242974322,1.19890387,0.04407045166,0.8636050567,0.8329853856,0.03061967108,3.912964947,4.491720409,-0.5787554619,2.689956346,19.17827739,-22.17003327,18.64380367,-2.516228827,43.29014475,19.17827739,18.66176084,0.7340232761,0.892861351,0.8912907651
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v010,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.285,1.4259929,1.271554823,2.1786966,1.57924683,5.481054528,0.7525466379,-0.1184806549,-0.07903907126,-0.05691348878,-0.4401804306,2.078905545,-2.732291811,-1.581198235,6.356339883,2.773446464,0.3899899268,6.902915164,2.813234019,0.4599218048,5.08478506,5.631360342,-0.5465752812,0.5947498638,0.6345374192,-0.03978755538,1.189256903,1.119325026,0.06993187796,0.8339851506,0.7849443188,0.0490408318,4.275598523,5.031032286,-0.7554337624,-4.122776543,3.841811537,-27.71128002,24.39739679,-11.13268023,10.22818749,4.468897378,24.39739679,0.4269787649,0.9133782785,0.5430458049
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v011,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.35,1.497133,1.289711271,2.137684572,1.617469758,5.280294478,1.695567206,-0.09715961764,-0.4225267907,-0.2745700324,-1.111803288,3.14469167,-5.168691294,-8.79882565,6.426357407,3.433914814,0.3970576639,6.808494523,2.694577307,0.238721252,5.136646136,5.518783252,-0.3821371162,1.296230242,0.5568927351,0.7393375071,1.220412094,1.378748506,-0.1583364119,0.8151661168,0.9209258669,-0.1057597501,4.20894398,4.00274831,0.2061956698,24.93882558,12.77704677,-19.67270459,28.1604754,-20.88006422,19.68795713,12.92696359,28.1604754,1.035238989,1.074326528,1.111803288
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v012,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.31,1.4243016,1.297164266,2.062861472,1.695168494,4.913531562,1.829323542,0.5363301629,0.09130975971,1.145190657,-0.7657278304,-0.2299085606,10.86221022,-9.911950444,4.393916526,3.041089501,0.389947909,4.698503761,2.651644017,0.1024859023,3.09675226,3.401339495,-0.3045872348,0.9782280291,0.5887825452,0.3894454839,1.305220585,1.592682591,-0.2874620067,0.9163933991,1.118220039,-0.2018266403,2.372589198,2.135604114,0.2369850837,13.2856195,4.940434913,-32.1677385,34.63364732,-31.98376824,17.17341504,12.21063123,37.13085686,0.8680740178,1.145190657,0.7657278304
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v013,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,none_before_actual_duration,,1.4785759,1.284433828,2.022665121,1.68073574,5.493042209,-0.3902356204,0.08871619181,0.3341159531,0.1323899289,0.6384368875,4.072388218,2.620627467,10.8001922,5.327935859,1.574932484,0.3909209357,6.148705534,3.302206464,0.4600624746,4.043502031,4.864271707,-0.8207696758,-0.4477326371,1.279541343,-1.72727398,1.289814805,1.220673266,0.0691415389,0.8723358771,0.8255736251,0.04676225204,3.134947759,3.984908856,-0.8499610972,-30.05084012,8.887646391,-20.35694947,26.92763061,10.65751046,29.1294092,8.887646391,26.92763061,0.3341159531,0.8486243913,0.6384368875
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v014,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.29,1.6547334,1.279150577,2.025478087,1.599978968,6.253436566,0.5118647061,0.2697596107,0.4922571159,0.9116734051,0.2006820789,0.4978040208,2.246343711,0.5711993253,6.114386348,2.322287279,0.3742602034,7.068686333,2.793402663,0.4556185044,4.83523577,5.789535756,-0.9542999856,0.2968091925,0.7679245764,-0.4711153839,1.225718765,1.144360464,0.08135830095,0.740734891,0.6915678765,0.04916701443,3.944816633,5.0591889,-1.114372267,-14.93224191,2.460071747,-23.79662497,31.00557721,-14.27251881,11.64660157,2.892799845,31.00557721,0.4922571159,0.9116734051,0.3944484028
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v015,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,none_before_actual_duration,,1.4588349,1.27907402,2.112197877,1.570081474,5.636640069,0.7496944838,0.4584440571,-0.07562709601,0.6591895935,-0.2274682168,2.687893656,2.066972851,-3.357562787,5.623290254,2.114424284,0.3878465478,6.316574094,2.864496365,0.4762091593,4.344216234,5.037500074,-0.69328384,0.002226406245,0.7522984876,-0.7500720814,1.182234926,1.093872314,0.08836261147,0.8103966569,0.7498259841,0.06057067285,3.674579509,4.605199352,-0.9306198429,7.686667197,12.14610672,-27.707233,27.3257173,13.70642713,24.60302824,12.21958675,27.3257173,0.5480814415,0.8323262751,0.5318208965
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v016,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.45,1.4625234,1.265291351,2.163065367,1.636062493,5.619604115,1.447708155,0.1310302742,-0.4464127899,0.05978493277,-1.628535073,1.754794165,-1.921324891,-7.077232485,6.016507279,3.595568139,0.390434416,6.400123906,2.217265581,0.3622579347,4.751215929,5.134832555,-0.3836166266,1.432502772,0.0542002137,1.378302558,1.245628077,1.273804558,-0.02817648132,0.8516978783,0.8709635402,-0.01926566189,3.814313451,4.031099216,-0.2167857645,26.30093263,11.80780776,-32.13704254,30.57585159,-26.11868441,16.68028024,12.43158679,30.57585159,0.7720260881,1.029595713,1.628535073
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v017,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.105,1.2308217,1.242954097,2.140464519,1.767765775,3.642759225,2.202832901,0.2920701058,0.04667733947,0.5947655496,-1.210196687,-0.368165442,12.76799616,-16.26936117,3.821516539,3.698243022,0.3903901226,3.871299868,2.645010655,0.06318821823,2.578562442,2.628345772,-0.0497833292,1.557778503,0.5045461359,1.053232367,1.377375652,1.704577557,-0.3272019043,1.11907001,1.384910224,-0.2658402142,1.872083653,1.541933813,0.3301498396,-3.095335328,-11.94553091,-29.23887682,30.60582351,-57.26545817,-11.00893237,20.67261062,31.42062928,0.9353459463,0.5947655496,1.210196687
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v018,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.22,1.3246412,1.270658215,2.157144457,1.5246064,4.910615239,1.433260964,0.2546672286,-0.4557101692,0.2931256669,-0.7344185682,-2.678962679,-3.164798804,-10.09830247,5.688318759,3.316263755,0.3900421293,5.829607565,1.911233422,0.1961714896,4.417660544,4.558949351,-0.1412888065,1.159119298,-0.2459110351,1.405030334,1.134564271,1.328434911,-0.1938706396,0.8565068573,1.002863954,-0.1463570963,3.893706735,3.431819891,0.4618868444,17.35259409,1.00255593,-21.10930404,25.96384868,-28.02822461,-1.255164082,11.43979559,25.96384868,0.5467721027,0.9220688963,0.7344185682
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v019,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.42,1.486635,1.335766158,2.040251753,1.647334035,5.865945528,0.7058527215,0.08270525444,0.001546287236,0.3773395905,-0.8667204193,3.532323663,2.844945475,-6.961698575,6.031497849,2.13326131,0.3883602523,6.674440647,2.327373501,0.6481647172,4.695731691,5.338674489,-0.6429427982,0.09300955706,0.2871217478,-0.1941121908,1.258973783,0.9991693178,0.2598044649,0.8468613902,0.6721013012,0.174760089,3.729808956,5.343112918,-1.613303961,32.95918988,13.48340751,-32.07340192,27.35716189,10.04773682,20.35970653,13.55374987,27.35716189,0.6751778062,0.8136824993,0.8667204193
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v020,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.285,1.4801292,1.283103943,2.138499254,1.571275891,5.756423139,0.8088386202,0.295494397,-0.2333989493,0.3583714071,-0.1826355962,0.1431096311,-0.8085060243,-4.901809302,6.054290131,2.347460029,0.3966070514,6.953124468,2.2981763,0.5301097786,4.771186188,5.670020525,-0.8988343369,0.2089607746,0.1596770457,0.0492837289,1.17466884,1.041166113,0.1335027272,0.7936258807,0.7034292093,0.09019667146,4.061728741,5.445836601,-1.384107861,-8.758756378,-1.646674268,-27.43405742,27.35488691,-10.65021848,-1.389418673,2.705421315,27.35488691,0.2801956372,0.8669660428,0.5139107944
heldout,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v021,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.155,1.5835711,1.290970936,2.063036854,1.520728462,6.199900542,0.7655162348,0.05876163261,-0.1957278549,0.6371679206,-0.1894464967,-0.1603751901,-0.6679397799,-4.890767404,6.506641816,2.055865858,0.3836549376,7.487696939,2.035856084,0.518859395,5.21567088,6.196726003,-0.9810551225,-0.007170996021,-0.02718076925,0.02000977323,1.137073525,1.001869067,0.1352044574,0.7180438723,0.6326644047,0.08537946757,4.586924915,6.185165512,-1.598240597,-24.18288648,-6.142777691,-17.82423759,28.15124846,-10.06715923,-9.022624769,6.142777691,28.15124846,0.2623946768,0.8503489838,0.4875193355
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v022,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.255,1.4493969,1.419269163,2.138084663,1.559203349,5.527383466,1.576028076,0.2721586403,-0.2600128393,0.2175161596,-0.2573419644,-1.709149485,-1.363598545,-9.626468031,6.244855167,2.669454797,0.3981257032,6.956174723,2.244757342,0.5354136419,4.825586004,5.53690556,-0.7113195556,0.5313701347,0.1066726793,0.4246974554,1.161077645,1.023789707,0.1372879387,0.8010763963,0.706355662,0.09472073436,4.156126873,5.408244997,-1.252118124,-13.61564679,-3.958217891,-20.09890386,27.10898242,-14.28267178,-6.551739026,7.869413013,27.10898242,0.6383430992,0.8240914658,0.8770042367
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v023,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.45,1.4736096,1.294554189,2.157051042,1.620440392,5.42550613,1.52679036,0.1838940985,-0.1630248062,0.7997087664,-0.02650489037,4.721349335,5.602919798,-8.763839285,5.401309687,2.465155471,0.397418818,5.73012536,3.651423037,0.322872772,4.106755499,4.435571171,-0.3288156725,0.3081044287,1.494371995,-1.186267566,1.223021574,1.29756762,-0.074546046,0.8299495159,0.880536894,-0.0505873781,3.357876579,3.418373812,-0.06049723296,0.9366787625,26.99013239,-30.18606982,16.19566457,0.6290701928,58.97425946,27.98668876,22.14299942,0.9527479593,0.8049091108,1.085657297
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v024,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,1.08,1.4222646,1.313169932,2.035619694,1.572355932,5.643958553,1.648888702,-0.411273735,-0.1751325002,-0.004060786147,-0.773710355,1.037264585,-6.63996328,-12.77636802,6.602847967,2.637144206,0.7280549488,7.654708785,1.56973481,0.5217928212,5.289678036,6.341538853,-1.051860818,0.6015245117,-0.4658848836,1.067409395,0.8443009829,1.050563111,-0.2062621276,0.5936314402,0.7386551775,-0.1450237372,6.26515679,6.036323558,0.2288332318,13.30959057,-13.07627115,-5.977123944,20.21682446,-15.43933599,-22.18503907,13.07627115,20.21682446,0.5994044106,0.9086095181,0.9881330535
train,20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v025,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,floor,1.41,1.4276458,1.286708037,2.040137192,1.649452152,5.396995884,1.113670807,0.6119696874,-0.2572189175,0.7383199095,-0.2974545724,2.325868882,10.07428018,-9.217890273,4.604510367,2.261054089,0.3893027702,5.12715381,2.805296465,0.3427913684,3.31780233,3.840445773,-0.5226434429,0.2209168965,0.7651592722,-0.5442423756,1.260149381,1.306660783,-0.04651140184,0.8826764884,0.9152555789,-0.03257909059,2.632864309,2.939129897,-0.306265588,7.899463251,20.75861671,-22.92334199,26.53573029,-12.73877253,41.74275506,24.15588425,29.11079271,0.5528268297,0.8783188756,0.8139933042
