path,category,keep_reason,public_imports,dependency_paths,covering_tests,old_method_token_status,contamination_action,frame_sign_unit_status,doc_comment_status,dense_runtime_status
.gitignore,config,keeps active docs unignored and generated results local,not_importable,none,test_repo_housekeeping.py,none,kept,not_applicable,consistent,not_applicable
pyproject.toml,config,pytest path contract for retained modules,not_importable,none,test_repo_housekeeping.py,none,kept,not_applicable,consistent,not_applicable
requirements.txt,config,dependency declaration for retained tests,not_importable,none,compile_and_pytest,none,kept,not_applicable,consistent,not_applicable
README.md,documentation,repository landing page without active method claims,not_importable,none,test_repo_housekeeping.py,none,kept,not_applicable,consistent,not_applicable
LICENSE,documentation,repository license metadata,not_importable,none,test_repo_housekeeping.py,none,kept,not_applicable,consistent,not_applicable
docs/Glider_Control_Project_Plan.md,active_contract_doc,latest environment-conditioned project contract,not_importable,none,test_repo_housekeeping.py,boundary_prohibition_context_only,replaced_unconditionally_with_latest_project_plan,consistent,consistent,states_required_contract
docs/Skills.md,active_contract_doc,latest project skills and claim-boundary rules,not_importable,none,test_repo_housekeeping.py,none,replaced_unconditionally,consistent,consistent,states_required_contract
docs/Python Coding Instruction.txt,active_contract_doc,latest Python coding standard for contextual primitives,not_importable,none,test_repo_housekeeping.py,none,replaced_unconditionally,consistent,consistent,states_required_contract
docs/housekeeping_and_naming_rules.md,active_contract_doc,latest housekeeping and dense storage rules,not_importable,none,test_repo_housekeeping.py,none,replaced_unconditionally,consistent,consistent,states_required_contract
docs/Daily_Schedule.txt,active_contract_doc,reset-only current execution schedule,not_importable,none,test_repo_housekeeping.py,none,created,consistent,consistent,states_required_contract
docs/abbr.md,documentation,abbreviation glossary for future contextual modules,not_importable,none,test_repo_housekeeping.py,none,created,not_applicable,consistent,not_applicable
docs/reset/model_only_reset_manifest.md,reset_audit,records deleted old-method history and claim boundary,not_importable,none,test_repo_housekeeping.py,allowed_historical_reset_context,kept,not_applicable,consistent,not_applicable
docs/reset/kept_file_audit.csv,reset_audit,machine-readable retained-file audit,not_importable,none,test_repo_housekeeping.py,none,kept,not_applicable,consistent,not_applicable
