comparison_type,library_size_case_id,policy_id,baseline_policy_id,history_length,paired_launch_count,mean_paired_delta_launch_score,median_paired_delta_launch_score,win_rate,loss_rate,safety_regression_rate,mission_success_delta_mean,front_wall_terminal_success_delta_mean,wrong_wall_exit_delta_mean,memory_changed_selection_rate,exploration_changed_selection_rate,mean_net_specific_energy_delta_m_delta,mean_positive_specific_energy_gain_m_delta,mean_updraft_specific_energy_gain_proxy_m_delta,mean_terminal_specific_energy_m_delta,mean_terminal_specific_energy_bonus_delta,mean_gross_specific_energy_loss_m_delta,mean_episode_flight_time_s_delta
memory_vs_no_memory,balanced_cluster,directional_3d_residual_memory_h10,no_memory_baseline,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,balanced_cluster,directional_3d_residual_memory_h3,no_memory_baseline,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,balanced_cluster,directional_3d_residual_memory_h30,no_memory_baseline,30,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,heavy_cluster,directional_3d_residual_memory_h10,no_memory_baseline,10,50,2.5709499078629962e-06,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,3.019303951305119e-05,0.0,1.2854749540602838e-07,3.019303951305119e-05,0.0,-3.019303951305119e-05,0.0
memory_vs_no_memory,heavy_cluster,directional_3d_residual_memory_h3,no_memory_baseline,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,heavy_cluster,directional_3d_residual_memory_h30,no_memory_baseline,30,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,light_cluster,directional_3d_residual_memory_h10,no_memory_baseline,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,light_cluster,directional_3d_residual_memory_h3,no_memory_baseline,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,light_cluster,directional_3d_residual_memory_h30,no_memory_baseline,30,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_vs_no_memory,no_cluster_no_merge,directional_3d_residual_memory_h10,no_memory_baseline,10,50,-0.0008855295113397687,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.14,0.0,-5.1935746312717914e-05,0.0,0.00017949370116879587,-5.19357463127168e-05,0.005339065180060061,5.193574631272013e-05,-0.0008000000000000007
memory_vs_no_memory,no_cluster_no_merge,directional_3d_residual_memory_h3,no_memory_baseline,3,50,-0.0647491388337491,0.0,0.08,0.12,0.0,0.0,0.0,0.0,0.32,0.0,-0.00285671646537298,-5.056529149619737e-05,-0.0016624273289547983,-0.0028567164653729815,-0.034764559562413345,0.0028061511738767825,0.0007999999999999918
memory_vs_no_memory,no_cluster_no_merge,directional_3d_residual_memory_h30,no_memory_baseline,30,50,0.0005032311592211158,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,-0.00011834080584900875,0.0,8.200555626715672e-06,-0.00011834080584899987,0.00033922004668738735,0.00011834080584900875,0.00040000000000000034
memory_vs_no_memory,super_light_cluster,directional_3d_residual_memory_h10,no_memory_baseline,10,50,0.00037804832482095206,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,-5.847749088746856e-05,0.0,1.8902416241053377e-05,-5.847749088746745e-05,0.0,5.847749088746745e-05,0.0
memory_vs_no_memory,super_light_cluster,directional_3d_residual_memory_h3,no_memory_baseline,3,50,0.00037804832482095206,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,-5.847749088746856e-05,0.0,1.8902416241053377e-05,-5.847749088746745e-05,0.0,5.847749088746745e-05,0.0
memory_vs_no_memory,super_light_cluster,directional_3d_residual_memory_h30,no_memory_baseline,30,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
