Metric,Value,Unit
code_version,709b2f8-dirty,-
airfoil_model,naca0002,-
objective,368.8680876695065,-
v_nom_mps,5.0,m/s
v_turn_mps,4.15,m/s
turn_bank_deg,50.0,deg
bank_entry_time_s,1.5,s
arena_width_m,4.8,m
wall_clearance_m,0.5,m
boom_length_m,0.7346697452350235,m
fuselage_tail_x_m,0.6246697452350235,m
fuselage_length_m,0.7346697452350235,m
alpha_trim_deg,4.878855093399547,deg
delta_a_trim_deg,8.012138965601067e-17,deg
delta_e_trim_deg,1.1820674819579802,deg
delta_r_trim_deg,-1.0141976421129343e-14,deg
alpha_turn_deg,8.000000079995127,deg
delta_a_turn_deg,2.2390754148374265e-15,deg
delta_e_turn_deg,5.853833320094906,deg
delta_r_turn_deg,7.22289511899037e-06,deg
mass_total_kg,0.12689025156465678,kg
mass_total_g,126.89025156465678,g
mass_total_lbm,0.27974511909152433,lbm
total_cg_x_m,0.1809556561270791,m
total_cg_y_m,0.0,m
total_cg_z_m,0.013333121157939325,m
total_cg_x_weighted_m,0.18095565612707915,m
total_cg_y_weighted_m,0.0,m
total_cg_z_weighted_m,0.013333121157939323,m
total_cg_x_error_m,-5.551115123125783e-17,m
total_cg_y_error_m,0.0,m
total_cg_z_error_m,1.734723475976807e-18,m
mass_component_sum_kg,0.12689025156465678,kg
ballast_mass_kg,0.0,kg
battery_slider_eta,-5.962817299211363e-09,-
battery_x_m,0.06826063870248525,m
sink_rate_mps,0.623253721028862,m/s
L_over_D,8.022414935020924,-
turn_radius_m,1.4731287867431915,m
turn_footprint_lhs_m,2.3946514748080547,m
turn_CL,0.7268779971447252,-
wing_loading_n_m2,7.040977718093628,N/m^2
reynolds_wing,70691.62279433392,-
static_margin,0.04999998998640948,MAC fraction
tail_volume_horizontal,0.6954799708211444,-
tail_volume_vertical,0.02999999000073571,-
roll_rate_ss_radps,7.7211788319247985,rad/s
roll_rate_ss_turn_radps,6.408578430497583,rad/s
min_roll_rate_turn_radps,0.5817764173314431,rad/s
roll_accel0_rad_s2,326.1984093418377,rad/s^2
roll_tau_s,0.023670191548461644,s
wing_tip_deflection_proxy_m,1.6257137667768977,m
wing_tip_deflection_proxy_allow_m,0.03372181504518908,m
wing_tip_deflection_proxy_semispan_fraction,3.856764565248584,-
wing_tip_deflection_proxy_over_allow,48.20955706560731,-
wing_struct_semispan_m,0.4280253549746761,m
wing_struct_half_load_n,0.9682773509404738,N
wing_struct_line_load_n_m,2.262196245355048,N/m
wing_struct_E_pa,1500000.0,Pa
wing_struct_thickness_m,0.006,m
htail_tip_deflection_proxy_m,1.2563590235824074,m
htail_tip_deflection_proxy_allow_m,0.017290128954574848,m
htail_tip_deflection_proxy_semispan_fraction,5.813069535262124,-
htail_tip_deflection_proxy_over_allow,72.66336919077654,-
htail_struct_semispan_m,0.21612661193218557,m
htail_struct_half_load_n,0.24206933773511846,N
htail_struct_line_load_n_m,1.1200348516594199,N/m
htail_struct_E_pa,1000000.0,Pa
htail_struct_thickness_m,0.003,m
objective_struct_deflection_proxy_penalty,111.43711391654165,-
objective_htail_deflection_proxy_penalty,256.7819241886777,-
objective_roll_tau_penalty,0.00013834023899774445,-
max_servo_utilization,0.0050313732338214436,fraction
design_var_bound_hits_count,3,-
design_var_bound_hits,alpha_turn_deg:upper; ballast_mass_kg:lower; battery_slider_eta:lower,-
