Variable,Value
V_operate (m/s),4.32189507899262
alpha (deg),7.776628557733585
phi (deg),62.29177008644702
r_target (m),1.0
n_load,2.150680004511492
TOGW (kg),0.1660076350226472
L/D_turn,12.73988920459099
sink_rate (m/s),0.729599227961609
static_margin,0.03999998997890011
V_ht,0.7000000078297641
V_vt,0.01999999000477848
Re_w,46.7k
x_nose (m),-0.220929169177578
x_tail (m),1.1815528686764816
b_w (m),1.965050025656404
dihedral_w (deg),2.2986871084097964
c_root_w (m),0.15783589487715086
taper_w,1.0
S_w (m^2),0.3101554292778468
l_ht (m),1.1815528686764816
b_ht (m),0.34060029598631864
c_root_ht (m),0.08515007399657966
taper_ht,1.0
S_ht (m^2),0.029002140406491964
l_vt (m),1.1815528686764816
b_vt (m),0.14364145880473372
c_root_vt (m),0.07182072940236686
taper_vt,1.0
S_vt (m^2),0.010316434343776009
objective_total,1.5514728540963947
penalty,1.3318274241348884e-10
x_cg (m),0.06944930696429859
y_cg (m),-1.4195550839515822e-17
z_cg (m),0.013506802156197139
I_xx (kg m^2),0.034802857825412176
I_yy (kg m^2),0.012472422312360633
I_zz (kg m^2),0.04720427577239366
I_xy (kg m^2),-5.659262437212503e-20
I_xz (kg m^2),-4.773138313321753e-05
I_yz (kg m^2),-2.4100585713147758e-20
mass_wing_kg,0.10048216524624301
mass_htail_surfaces_kg,0.004466266629779108
mass_vtail_surfaces_kg,0.0013400129512482566
mass_linkages_kg,0.001
mass_Receiver_kg,0.005
mass_battery_kg,0.013
mass_servo_kg,0.0088
mass_boom_kg,0.012622338340686535
mass_pod_kg,0.007
mass_ballast_kg,-9.998839169046e-09
mass_glue_weight_kg,0.012296861853529422
wing root LE x (m),-0.03945897371928772
wing root LE y (m),0.0
wing root LE z (m),0.0
wing tip LE x (m),-0.03945897371928772
wing tip LE y (m),0.981734389141278
wing tip LE z (m),0.03940799424558836
htail root LE x (m),1.096402794679902
htail root LE y (m),0.0
htail root LE z (m),0.0
htail tip LE x (m),1.096402794679902
htail tip LE y (m),0.17030014799315932
htail tip LE z (m),0.0
vtail root LE x (m),1.1097321392741146
vtail root LE y (m),0.0
vtail root LE z (m),0.0
vtail tip LE x (m),1.1097321392741146
vtail tip LE y (m),0.0
vtail tip LE z (m),0.14364145880473372
aero_F_g[0],-0.20153036775125044
aero_F_g[1],-5.4688923229568404e-17
aero_F_g[2],3.5074456487691412
aero_M_g[0],3.449195069875283e-17
aero_M_g[1],1.2313284072917874e-14
aero_M_g[2],-5.611321616811045e-17
aero_F_b,0.20153036775125044
aero_F_w,-0.27492055769973495
aero_M_b,-3.449195069875283e-17
aero_M_w,-2.6581972955072124e-17
aero_L,3.502457445158985
aero_Y,-5.4688923229568404e-17
aero_D,0.27492055769973495
aero_l_b,-3.449195069875283e-17
aero_m_b,1.2313284072917874e-14
aero_n_b,5.611321616811045e-17
aero_CL,0.9870502132842667
aero_CY,-1.541223960126718e-17
aero_CD,0.07747714265274541
aero_Cl,-4.946642506328762e-18
aero_Cm,2.1985406575111467e-14
aero_Cn,8.0474433785511e-18
wing_components_comp1_L (N),3.313465842953655
wing_components_comp1_D (N),0.1420501478732405
wing_components_comp1_Y (N),0.0
wing_components_comp1_l_b,-2.7755575615628914e-17
wing_components_comp1_m_b,0.19711238363209926
wing_components_comp1_n_b,-1.734723475976807e-18
wing_components_comp1_span_eff (m),1.9634694144860179
wing_components_comp1_oswald,0.7615620236573788
wing_components_comp2_L (N),0.18761226813713713
wing_components_comp2_D (N),0.012618335458682671
wing_components_comp2_Y (N),0.0
wing_components_comp2_l_b,-3.469446951953614e-18
wing_components_comp2_m_b,-0.19626246266969766
wing_components_comp2_n_b,-2.0328790734103208e-19
wing_components_comp2_span_eff (m),0.34060029598631864
wing_components_comp2_oswald,0.8106853777008906
wing_components_comp3_L (N),-0.0
wing_components_comp3_D (N),0.00264328253094551
wing_components_comp3_Y (N),-5.4688923229568404e-17
wing_components_comp3_l_b,-3.2449152925577326e-18
wing_components_comp3_m_b,-0.0002241538170436398
wing_components_comp3_n_b,5.803474718246555e-17
wing_components_comp3_span_eff (m),0.14364145880473372
wing_components_comp3_oswald,0.8232692748986458
fuselage_components_comp1_L (N),0.0013793340681930112
fuselage_components_comp1_D (N),0.0013601014684990905
fuselage_components_comp1_Y (N),0.0
fuselage_components_comp1_l_b,-2.201283861257251e-20
fuselage_components_comp1_m_b,-0.0006257671453456538
fuselage_components_comp1_n_b,1.648036896273188e-20
fuselage_components_comp1_span_eff (m),0.004055451774444796
fuselage_components_comp1_oswald,0.95
aero_D_profile,0.1586718673313678
aero_D_induced,0.11624869036836727
aero_CLa,5.8835645799104705
aero_CDa,0.4484861667795442
aero_CYa,3.184751686731977e-22
aero_Cla,2.2450500311355025e-13
aero_Cma,-0.2353425242366305
aero_Cna,-1.4477024151086375e-14
aero_x_np,0.07576274117769535
aero_CLb,-6.545428867827207e-06
aero_CDb,-1.8314667536138404e-07
aero_CYb,0.07723743252931034
aero_Clb,-0.05097200629634303
aero_Cmb,9.472786648356049e-07
aero_Cnb,0.009249411138110005
aero_x_np_lateral,-0.1658712493909683
aero_CLp,-0.003633594846452759
aero_CDp,-0.0022045050685343126
aero_CYp,-0.11930022560193455
aero_Clp,-0.9185655121927224
aero_Cmp,-0.0005217963090656676
aero_Cnp,-0.2779888401509569
aero_CLq,-0.5556246473377158
aero_CDq,0.6176444349695333
aero_CYq,-3.58780951501867e-17
aero_Clq,-4.8188458842889894e-17
aero_Cmq,-32.50656708990586
aero_Cnq,9.545012482016117e-18
aero_CLr,4.002624010013278e-06
aero_CDr,-9.393676628222103e-06
aero_CYr,0.07347498974397663
aero_Clr,0.18461434566731966
aero_Cmr,-0.00017358364762513112
aero_Cnr,-0.03321976513384666
