Metric,Value,Unit
code_version,965b2d6-dirty,-
airfoil_model,naca0002,-
objective,8.641806023819619,-
v_nom_mps,6.5,m/s
v_turn_mps,4.0,m/s
turn_bank_deg,50.0,deg
bank_entry_time_s,0.2,s
arena_width_m,4.8,m
wall_clearance_m,0.2,m
boom_length_m,0.5654582458081768,m
fuselage_tail_x_m,0.46545824580817685,m
fuselage_length_m,0.5654582458081768,m
alpha_trim_deg,3.9848055271552063,deg
delta_a_trim_deg,1.2868886471207065e-15,deg
delta_e_trim_deg,-0.07005853698677676,deg
delta_r_trim_deg,-3.473487117276699e-15,deg
alpha_turn_deg,3.9848055271552063,deg
delta_a_turn_deg,1.2868886471207065e-15,deg
delta_e_turn_deg,-0.07005853698677676,deg
delta_r_turn_deg,-3.473487117276699e-15,deg
mass_total_kg,0.12971838436949232,kg
mass_penalty_mode,all_mass,-
mass_penalty_reference_kg,0.12971838436949232,kg
mass_total_g,129.71838436949233,g
mass_total_lbm,0.2859800846506574,lbm
total_cg_x_m,0.11749943171791409,m
total_cg_y_m,0.0,m
total_cg_z_m,0.014743409515595163,m
total_cg_x_weighted_m,0.11749943171791409,m
total_cg_y_weighted_m,0.0,m
total_cg_z_weighted_m,0.014743409515595163,m
total_cg_x_error_m,0.0,m
total_cg_y_error_m,0.0,m
total_cg_z_error_m,0.0,m
mass_component_sum_kg,0.12971838436949232,kg
battery_x_m,0.030378784481341355,m
sink_rate_mps,0.6849821864803664,m/s
L_over_D,9.489297790862363,-
turn_radius_allow_raw_m,1.824999996250455,m
turn_radius_allow_m,1.824999996250455,m
a_lat_req_mps2,8.767123305683684,m/s^2
a_lat_ach_mps2,7.514895927974271,m/s^2
turn_radius_ach_m,2.129104668028715,m
turn_footprint_lhs_m,2.7041046717782597,m
agility_lateral_margin_mps2,-1.2522273777094135,m/s^2
turn_CL,0.3557258035575893,-
wing_loading_n_m2,9.205510539232952,N/m^2
reynolds_wing,80771.72345718427,-
