Metric,Value,Unit
code_version,29f0188,-
airfoil_model,naca0002,-
objective,126.73170129563071,-
v_nom_mps,4.7,m/s
v_turn_mps,4.2,m/s
turn_bank_deg,50.0,deg
bank_entry_time_s,1.5,s
arena_width_m,4.8,m
wall_clearance_m,0.5,m
boom_length_m,0.6399400767417475,m
fuselage_tail_x_m,0.5299400767417475,m
fuselage_length_m,0.6399400767417475,m
alpha_trim_deg,5.121658396611574,deg
delta_a_trim_deg,3.191912218483188e-15,deg
delta_e_trim_deg,1.0708482772493262,deg
delta_r_trim_deg,-2.828469974530196e-15,deg
alpha_turn_deg,7.8139505413526305,deg
delta_a_turn_deg,-0.019160012960272938,deg
delta_e_turn_deg,8.121916158077315,deg
delta_r_turn_deg,7.102326328450263e-06,deg
mass_total_kg,0.08976211749556634,kg
mass_total_g,89.76211749556634,g
mass_total_lbm,0.19789159481577331,lbm
ballast_mass_kg,0.0,kg
battery_slider_eta,0.7393749963911943,-
battery_x_m,0.05287820694975906,m
sink_rate_mps,0.5874999992015681,m/s
L_over_D,7.999999919524057,-
turn_radius_m,1.50883970376832,m
turn_footprint_lhs_m,2.400000023956833,m
turn_CL,0.6800461082125233,-
wing_loading_n_m2,6.333922927116839,N/m^2
reynolds_wing,56310.19007916012,-
static_margin,0.04999999019593033,MAC fraction
tail_volume_horizontal,0.4999999897701356,-
tail_volume_vertical,0.02999998998319993,-
roll_rate_ss_radps,7.55584844063787,rad/s
roll_rate_ss_turn_radps,6.752034776740225,rad/s
min_roll_rate_turn_radps,0.5817764173314431,rad/s
roll_accel0_rad_s2,327.22147121315913,rad/s^2
roll_tau_s,0.02309093108292954,s
wing_tip_deflection_proxy_m,1.0844742372830611,m
wing_tip_deflection_proxy_allow_m,0.03129282561508101,m
wing_tip_deflection_proxy_semispan_fraction,2.772454621062838,-
wing_tip_deflection_proxy_over_allow,34.655682763285476,-
wing_struct_semispan_m,0.39719459863316453,m
wing_struct_half_load_n,0.6849590435174391,N
wing_struct_line_load_n_m,1.7244923417250295,N/m
wing_struct_E_pa,1500000.0,Pa
wing_struct_thickness_m,0.006,m
htail_tip_deflection_proxy_m,0.4929077775765424,m
htail_tip_deflection_proxy_allow_m,0.01287632028652751,m
htail_tip_deflection_proxy_semispan_fraction,3.0624138984319718,-
htail_tip_deflection_proxy_over_allow,38.280173730399646,-
htail_struct_semispan_m,0.16095400358159387,m
htail_struct_half_load_n,0.17123976087935977,N
htail_struct_line_load_n_m,1.0639049484255398,N/m
htail_struct_E_pa,1000000.0,Pa
htail_struct_thickness_m,0.003,m
objective_struct_deflection_proxy_penalty,56.635249113161365,-
objective_htail_deflection_proxy_penalty,69.49063876843886,-
objective_roll_tau_penalty,0.00013165212303125964,-
max_servo_utilization,0.002962500666626542,fraction
design_var_bound_hits_count,1,-
design_var_bound_hits,ballast_mass_kg:lower,-
