model_id,split,regime,sample_count,throw_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg
baseline_active,train,attached,245,7,0.2079390375,0.5089039273,0.3956997778,0.5104491183,7.519926125,11.85714248,5.478225953
baseline_active,train,transition,692,7,0.2767038308,0.6293308061,0.7008861493,0.9331682956,7.523178331,25.20525412,7.487663691
baseline_active,train,post_stall,112,2,0.167308479,0.6756003983,0.301535979,0.5045738308,15.62422973,12.98515548,5.957103376
baseline_active,heldout,attached,41,3,0.07996808825,0.1615419064,0.1237843815,0.2331604818,3.103400295,4.921018191,3.557448184
baseline_active,heldout,transition,344,3,0.9086217963,0.4021047158,0.5817735385,0.8848196444,10.59892845,15.10632743,7.367770537
baseline_active,heldout,post_stall,0,0,,,,,,,
coefficient_candidate,train,attached,245,7,0.2073617348,0.5075100142,0.3951468892,0.5099153149,7.543365332,11.87997604,5.495885094
coefficient_candidate,train,transition,692,7,0.2760960506,0.6278213818,0.7000563067,0.9320959745,7.543404273,25.2392232,7.532525311
coefficient_candidate,train,post_stall,112,2,0.163377445,0.6667126959,0.2939061066,0.4909495833,16.04819762,13.42667756,6.059771381
coefficient_candidate,heldout,attached,41,3,0.07958807971,0.161280173,0.1234739092,0.2328319139,3.118600096,4.921295149,3.555932827
coefficient_candidate,heldout,transition,344,3,0.9084405948,0.3891833986,0.5711458449,0.8705028509,9.756567381,17.37794777,7.482213738
coefficient_candidate,heldout,post_stall,0,0,,,,,,,
