library_size_case_id,policy_id,history_length,launch_role,outer_case_index,outer_case_type,environment_block_id,episode_id,primitive_step_index,start_state_family,route_required_entry_class,selected_primitive_id,selected_primitive_variant_id,selected_memory_shield_status,selected_memory_shield_accepted,selected_memory_shield_baseline_variant_id,selected_memory_shield_memory_variant_id,selected_memory_shield_score_margin,selected_memory_shield_memory_correction_delta,selected_memory_near_tie_base_score_margin,selected_memory_near_tie_base_score_gap_to_best,selected_memory_near_tie_factor,selected_raw_memory_score_component,selected_effective_memory_score_component,selected_memory_shield_base_score_gap_to_baseline,selected_memory_shield_memory_opportunity_ratio,selected_memory_shield_candidate_path_confidence,selected_memory_shield_candidate_path_uncertainty,selected_memory_shield_exploration_score_component,selected_memory_shield_information_gain_score_component,selected_memory_shield_information_gain,selected_memory_shield_route_score_component,selected_memory_shield_route_exploitation_m,selected_memory_shield_route_information_gain,selected_memory_shield_route_confidence,selected_memory_shield_path_exit_margin_delta_m,selected_flow_map_grid_resolution_m,selected_flow_map_query_radius_m,selected_flow_map_reachable_attraction_m,selected_flow_map_reachable_attraction_confidence,selected_flow_map_reachable_attraction_query_count,selected_flow_map_reachable_attraction_observation_count,selected_flow_map_candidate_path_uncertainty,selected_flow_map_memory_guided_exploration_uncertainty,selected_flow_map_information_gain,selected_flow_map_information_gain_path_uncertainty,selected_flow_map_information_gain_reachable_uncertainty,selected_flow_map_information_gain_query_count,selected_flow_map_information_gain_low_confidence_query_count,selected_memory_route_score_component,selected_memory_route_gate,selected_memory_route_horizon_primitives,selected_memory_cost_benefit_known_flow_benefit_m,selected_memory_cost_benefit_information_benefit,selected_memory_cost_benefit_total_benefit,selected_memory_cost_benefit_total_cost,selected_memory_cost_benefit_net_value,selected_flow_map_route_policy,selected_flow_map_route_exploitation_m,selected_flow_map_route_information_gain,selected_flow_map_route_confidence,selected_flow_map_route_front_progress,selected_flow_map_route_safe_fraction,memory_opportunity_policy,memory_policy_version
heavy_cluster,no_memory_baseline,0,final_heldout,1,targeted_memory_opportunity_arena_wide_four_fan,targeted_memory_opportunity_arena_wide_four_fan,r10_heavy_cluster_no_memory_baseline_final_0001,0,launch_gate,launch_gate,mild_turn_left,primvar_mild_turn_left_transition_object_c5942d118f74,not_active_no_candidate_path_memory,True,primvar_mild_turn_left_transition_object_c5942d118f74,primvar_mild_turn_left_transition_object_c5942d118f74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399633844331464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0,0,0.0,0.6399633844331464,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,bounded_short_horizon_route_value_from_candidate_exit_sparse_flow_map_probes,0.0,0.0,0.0,0.0,0.0,decision_level_baseline_vs_candidate_path_memory_gap_audit,outer_loop_cost_benefit_spatial_flow_memory_v4_1
heavy_cluster,no_memory_baseline,0,final_heldout,1,targeted_memory_opportunity_arena_wide_four_fan,targeted_memory_opportunity_arena_wide_four_fan,r10_heavy_cluster_no_memory_baseline_final_0001,1,inflight_nominal,inflight_stable,mild_turn_left,primvar_mild_turn_left_transition_object_db35ed6693fe,not_active_no_candidate_path_memory,True,primvar_mild_turn_left_transition_object_db35ed6693fe,primvar_mild_turn_left_transition_object_db35ed6693fe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6039847904695528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0,0,0.0,0.6039847904695528,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,bounded_short_horizon_route_value_from_candidate_exit_sparse_flow_map_probes,0.0,0.0,0.0,0.0,0.0,decision_level_baseline_vs_candidate_path_memory_gap_audit,outer_loop_cost_benefit_spatial_flow_memory_v4_1
heavy_cluster,no_memory_baseline,0,final_heldout,1,targeted_memory_opportunity_arena_wide_four_fan,targeted_memory_opportunity_arena_wide_four_fan,r10_heavy_cluster_no_memory_baseline_final_0001,2,inflight_nominal,inflight_stable,mild_turn_left,primvar_mild_turn_left_transition_object_db35ed6693fe,not_active_no_candidate_path_memory,True,primvar_mild_turn_left_transition_object_db35ed6693fe,primvar_mild_turn_left_transition_object_db35ed6693fe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6456974782096054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0,0,0.0,0.6456974782096054,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,bounded_short_horizon_route_value_from_candidate_exit_sparse_flow_map_probes,0.0,0.0,0.0,0.0,0.0,decision_level_baseline_vs_candidate_path_memory_gap_audit,outer_loop_cost_benefit_spatial_flow_memory_v4_1
heavy_cluster,no_memory_baseline,0,final_heldout,1,targeted_memory_opportunity_arena_wide_four_fan,targeted_memory_opportunity_arena_wide_four_fan,r10_heavy_cluster_no_memory_baseline_final_0001,3,inflight_nominal,inflight_stable,mild_turn_left,primvar_mild_turn_left_transition_object_db35ed6693fe,not_active_no_candidate_path_memory,True,primvar_mild_turn_left_transition_object_db35ed6693fe,primvar_mild_turn_left_transition_object_db35ed6693fe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696569502442658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0,0,0.0,0.696569502442658,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,bounded_short_horizon_route_value_from_candidate_exit_sparse_flow_map_probes,0.0,0.0,0.0,0.0,0.0,decision_level_baseline_vs_candidate_path_memory_gap_audit,outer_loop_cost_benefit_spatial_flow_memory_v4_1
heavy_cluster,no_memory_baseline,0,final_heldout,1,targeted_memory_opportunity_arena_wide_four_fan,targeted_memory_opportunity_arena_wide_four_fan,r10_heavy_cluster_no_memory_baseline_final_0001,4,inflight_nominal,inflight_stable,mild_turn_left,primvar_mild_turn_left_transition_object_db35ed6693fe,not_active_no_candidate_path_memory,True,primvar_mild_turn_left_transition_object_db35ed6693fe,primvar_mild_turn_left_transition_object_db35ed6693fe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7607193356900398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0,0,0.0,0.7607193356900398,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,bounded_short_horizon_route_value_from_candidate_exit_sparse_flow_map_probes,0.0,0.0,0.0,0.0,0.0,decision_level_baseline_vs_candidate_path_memory_gap_audit,outer_loop_cost_benefit_spatial_flow_memory_v4_1
heavy_cluster,no_memory_baseline,0,final_heldout,1,targeted_memory_opportunity_arena_wide_four_fan,targeted_memory_opportunity_arena_wide_four_fan,r10_heavy_cluster_no_memory_baseline_final_0001,5,inflight_nominal,inflight_stable,mild_turn_left,primvar_mild_turn_left_transition_object_db35ed6693fe,not_active_no_candidate_path_memory,True,primvar_mild_turn_left_transition_object_db35ed6693fe,primvar_mild_turn_left_transition_object_db35ed6693fe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8449577854675785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0,0,0.0,0.8449577854675785,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,bounded_short_horizon_route_value_from_candidate_exit_sparse_flow_map_probes,0.0,0.0,0.0,0.0,0.0,decision_level_baseline_vs_candidate_path_memory_gap_audit,outer_loop_cost_benefit_spatial_flow_memory_v4_1
heavy_cluster,no_memory_baseline,0,final_heldout,1,targeted_memory_opportunity_arena_wide_four_fan,targeted_memory_opportunity_arena_wide_four_fan,r10_heavy_cluster_no_memory_baseline_final_0001,6,inflight_recovery_edge,recoverable_degraded,mild_turn_left,primvar_mild_turn_left_transition_object_f34c47aea22b,not_active_no_candidate_path_memory,True,primvar_mild_turn_left_transition_object_f34c47aea22b,primvar_mild_turn_left_transition_object_f34c47aea22b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9607411257356444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0,0,0.0,0.9607411257356444,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,bounded_short_horizon_route_value_from_candidate_exit_sparse_flow_map_probes,0.0,0.0,0.0,0.0,0.0,decision_level_baseline_vs_candidate_path_memory_gap_audit,outer_loop_cost_benefit_spatial_flow_memory_v4_1
heavy_cluster,no_memory_baseline,0,final_heldout,1,targeted_memory_opportunity_arena_wide_four_fan,targeted_memory_opportunity_arena_wide_four_fan,r10_heavy_cluster_no_memory_baseline_final_0001,7,inflight_boundary_near,boundary_near,glide,primvar_glide_transition_object_26c0c0da3220,not_active_no_candidate_path_memory,True,primvar_glide_transition_object_26c0c0da3220,primvar_glide_transition_object_26c0c0da3220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,bounded_short_horizon_route_value_from_candidate_exit_sparse_flow_map_probes,0.0,0.0,0.0,0.0,0.0,decision_level_baseline_vs_candidate_path_memory_gap_audit,outer_loop_cost_benefit_spatial_flow_memory_v4_1
heavy_cluster,no_memory_baseline,0,final_heldout,1,targeted_memory_opportunity_arena_wide_four_fan,targeted_memory_opportunity_arena_wide_four_fan,r10_heavy_cluster_no_memory_baseline_final_0001,8,inflight_boundary_near,boundary_near,glide,primvar_glide_transition_object_26c0c0da3220,not_active_no_candidate_path_memory,True,primvar_glide_transition_object_26c0c0da3220,primvar_glide_transition_object_26c0c0da3220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,bounded_short_horizon_route_value_from_candidate_exit_sparse_flow_map_probes,0.0,0.0,0.0,0.0,0.0,decision_level_baseline_vs_candidate_path_memory_gap_audit,outer_loop_cost_benefit_spatial_flow_memory_v4_1
heavy_cluster,no_memory_baseline,0,final_heldout,1,targeted_memory_opportunity_arena_wide_four_fan,targeted_memory_opportunity_arena_wide_four_fan,r10_heavy_cluster_no_memory_baseline_final_0001,9,inflight_boundary_near,boundary_near,glide,primvar_glide_transition_object_26c0c0da3220,not_active_no_candidate_path_memory,True,primvar_glide_transition_object_26c0c0da3220,primvar_glide_transition_object_26c0c0da3220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,bounded_short_horizon_route_value_from_candidate_exit_sparse_flow_map_probes,0.0,0.0,0.0,0.0,0.0,decision_level_baseline_vs_candidate_path_memory_gap_audit,outer_loop_cost_benefit_spatial_flow_memory_v4_1
