metric,count,mean,median,std,min,max,role_for_model_calibration
launch_speed_m_s,5,6.231372817,6.239680377,0.3412301375,5.808367155,6.824543586,stratify model error versus launch energy; do not fit directly
sink_rate_m_s,5,0.7089972278,0.7215827044,0.0422856847,0.6267410947,0.7473759301,primary neutral-glide target for drag/lift/trim consistency
glide_ratio_x_over_altloss,5,4.596943501,4.417821571,0.8182548673,3.689537324,6.08255808,primary neutral-glide target for aerodynamic polar and trim
dy_m,5,1.417728732,1.2333628,0.5219315915,0.7793207976,2.053326191,lateral trim/asymmetry diagnostic before fitting aileron/rudder effects
max_abs_phi_deg,5,27.78190012,25.47053773,14.9511432,10.25243886,55.24541884,attitude envelope check; should not be used alone as fit objective
max_abs_theta_deg,5,33.85822518,32.58513919,5.620142441,26.61583638,43.88044055,pitch/CG/static-margin diagnostic before controller retuning
max_abs_p_rad_s,5,2.317188226,1.760079065,0.8332794009,1.653086879,3.806408522,roll-rate envelope diagnostic for future damping/control derivative fit
max_abs_q_rad_s,5,1.964403704,1.990541975,0.2377608554,1.684096042,2.301034337,pitch-rate envelope diagnostic for future damping/control derivative fit
max_abs_r_rad_s,5,1.338940247,1.492167915,0.4106982034,0.5994688825,1.747838942,yaw-rate envelope diagnostic for future damping/control derivative fit
mean_rate_confidence,5,0.9413090011,0.9429133858,0.004727433216,0.9328244275,0.9460526316,state-estimator evidence quality; exclude low-confidence throws from fitting
spike_downweighted_fraction,5,0.01931333089,0.0157480315,0.01050540715,0.008771929825,0.03816793893,state-estimator health diagnostic
