model_id,split,regime,sample_count,throw_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg
baseline_active,train,attached,201,7,0.2422459222,0.595536798,0.2917649491,0.4158242142,8.552971835,9.193922347,6.622153898
baseline_active,train,transition,690,7,0.2719329592,0.605135984,0.4573863789,0.6533156762,7.527156128,18.57765881,7.507853412
baseline_active,train,post_stall,112,2,0.1778010607,0.5926906585,0.1681852412,0.3113279862,6.297050733,9.923914674,5.109561054
baseline_active,heldout,attached,29,3,0.121434912,0.2315185224,0.1407302794,0.2846540113,3.353062174,4.787285507,5.301557154
baseline_active,heldout,transition,344,3,0.7956796084,0.416567178,0.4283363595,0.7150198145,10.34734401,11.87522566,7.985150185
baseline_active,heldout,post_stall,0,0,,,,,,,
coefficient_candidate,train,attached,201,7,0.1579554501,0.6507592559,0.09673264438,0.2127699853,11.10078677,6.874944861,10.08837363
coefficient_candidate,train,transition,690,7,0.19504348,0.64979258,0.2376841958,0.3746640151,9.358926476,10.17766433,10.47589795
coefficient_candidate,train,post_stall,112,2,0.08040067658,0.6225409711,0.067083286,0.1269319347,7.65768288,14.44895365,9.059383341
coefficient_candidate,heldout,attached,29,3,0.0611052923,0.2353296877,0.01627496111,0.1598061034,5.789161141,2.580558543,7.548267059
coefficient_candidate,heldout,transition,344,3,0.6767100663,0.4329459164,0.2758119626,0.5337155553,12.92113202,5.63371595,11.06288416
coefficient_candidate,heldout,post_stall,0,0,,,,,,,
