candidate_id,parameter,surface_axis,command_axis,moment_axis,fit_role,coefficient_per_rad,bounded_coefficient_per_rad,train_sample_count,heldout_sample_count,train_baseline_mae_coeff,train_candidate_mae_coeff,heldout_baseline_mae_coeff,heldout_candidate_mae_coeff,heldout_improved,mean_launch_confidence_weight,physical_sign_status,promotion_gate_status,claim_boundary
D0_launch_confidence_weighted_derivative_fit_basis,CY_delta_a_residual,aileron,delta_a,side_force_y,aileron_side_force,0.4798183808,0.4798183808,4792,985,0.3242113601,0.3222482693,0.2512200618,0.226674254,True,0.7873443013,signed_residual_derivative_diagnostic_only,not_promoted_no_replay_neutral_or_closed_loop_gate,surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,CY_delta_a_residual@normal,aileron,delta_a,side_force_y,aileron_side_force_alpha_regime_normal,-0.8665377195,-0.8665377195,683,229,0.2669585888,0.2412092507,0.1378775225,0.1714494504,False,0.7584051061,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,CY_delta_a_residual@transition,aileron,delta_a,side_force_y,aileron_side_force_alpha_regime_transition,0.3179744124,0.3179744124,3794,690,0.2847725063,0.282049711,0.2314142842,0.2148967921,True,0.7938135442,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,CY_delta_a_residual@post_stall,aileron,delta_a,side_force_y,aileron_side_force_alpha_regime_post_stall,3.037836153,3.037836153,315,66,0.930827771,0.2798078569,0.8345970198,0.2587670892,True,0.7804793699,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D0_launch_confidence_weighted_derivative_fit_basis,Cl_delta_a_residual,aileron,delta_a,roll,aileron_roll_effectiveness,0.05628318768,0.05628318768,4792,985,0.02053474619,0.01752193421,0.01936537792,0.01595728473,True,0.7873443013,signed_residual_derivative_diagnostic_only,not_promoted_no_replay_neutral_or_closed_loop_gate,surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,Cl_delta_a_residual@normal,aileron,delta_a,roll,aileron_roll_effectiveness_alpha_regime_normal,0.05942017802,0.05942017802,683,229,0.0170098198,0.01352230291,0.0132122793,0.01358156956,False,0.7584051061,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,Cl_delta_a_residual@transition,aileron,delta_a,roll,aileron_roll_effectiveness_alpha_regime_transition,0.04509569964,0.04509569964,3794,690,0.01935711873,0.0173873218,0.018790668,0.01586562353,True,0.7938135442,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,Cl_delta_a_residual@post_stall,aileron,delta_a,roll,aileron_roll_effectiveness_alpha_regime_post_stall,0.1367980844,0.1367980844,315,66,0.04245002485,0.01699168819,0.04585556318,0.009175935016,True,0.7804793699,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D0_launch_confidence_weighted_derivative_fit_basis,Cn_delta_a_residual,aileron,delta_a,yaw,aileron_yaw_coupling,-0.08210197202,-0.08210197202,4792,985,0.0207479166,0.0159100673,0.01912805222,0.01377962783,True,0.7873443013,signed_residual_derivative_diagnostic_only,not_promoted_no_replay_neutral_or_closed_loop_gate,surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,Cn_delta_a_residual@normal,aileron,delta_a,yaw,aileron_yaw_coupling_alpha_regime_normal,-0.02771465871,-0.02771465871,683,229,0.0112261929,0.01054558657,0.009773210532,0.009051719248,True,0.7584051061,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,Cn_delta_a_residual@transition,aileron,delta_a,yaw,aileron_yaw_coupling_alpha_regime_transition,-0.07922865127,-0.07922865127,3794,690,0.02043936663,0.01555407228,0.01899243757,0.01367764121,True,0.7938135442,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,Cn_delta_a_residual@post_stall,aileron,delta_a,yaw,aileron_yaw_coupling_alpha_regime_post_stall,-0.1580337823,-0.1580337823,315,66,0.04449712074,0.01285106787,0.05176281053,0.01191434733,True,0.7804793699,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D0_launch_confidence_weighted_derivative_fit_basis,Cm_delta_e_residual,elevator,delta_e,pitch,elevator_pitch_effectiveness,-0.115511593,-0.115511593,4324,958,0.0876389593,0.08322976695,0.09140446186,0.0845325132,True,0.8433957231,signed_residual_derivative_diagnostic_only,not_promoted_no_replay_neutral_or_closed_loop_gate,surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,Cm_delta_e_residual@normal,elevator,delta_e,pitch,elevator_pitch_effectiveness_alpha_regime_normal,0.02261583888,0.02261583888,1101,207,0.09313887122,0.09221147954,0.0994506879,0.09821632403,True,0.867240828,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,Cm_delta_e_residual@transition,elevator,delta_e,pitch,elevator_pitch_effectiveness_alpha_regime_transition,-0.09352878291,-0.09352878291,2335,488,0.06828869699,0.06555350718,0.06978945378,0.06561027273,True,0.8401260404,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,Cm_delta_e_residual@post_stall,elevator,delta_e,pitch,elevator_pitch_effectiveness_alpha_regime_post_stall,-0.4175659564,-0.4175659564,888,263,0.1325637327,0.06079497015,0.1251490743,0.05613541606,True,0.8243174582,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D0_launch_confidence_weighted_derivative_fit_basis,CY_delta_r_residual,rudder,delta_r,side_force_y,rudder_side_force,-0.1708085654,-0.1708085654,4358,817,0.2399730859,0.2339533851,0.2371454031,0.2394389883,False,0.845838937,signed_residual_derivative_diagnostic_only,not_promoted_no_replay_neutral_or_closed_loop_gate,surface/coupling derivative residual diagnostic only
D0_launch_confidence_weighted_derivative_fit_basis,Cn_delta_r_residual,rudder,delta_r,yaw,rudder_yaw_effectiveness,-0.01043556406,-0.01043556406,4358,817,0.01239340112,0.01183632152,0.01338416377,0.01290536735,True,0.845838937,signed_residual_derivative_diagnostic_only,not_promoted_no_replay_neutral_or_closed_loop_gate,surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,Cn_delta_r_residual@normal,rudder,delta_r,yaw,rudder_yaw_effectiveness_alpha_regime_normal,-0.0264172626,-0.0264172626,239,55,0.01046701764,0.008953866832,0.01219381698,0.01428393127,False,0.8347859106,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D1_alpha_regime_derivative_fit_basis,Cn_delta_r_residual@transition,rudder,delta_r,yaw,rudder_yaw_effectiveness_alpha_regime_transition,-0.01021342626,-0.01021342626,4097,762,0.01248547811,0.01193794805,0.01346449988,0.01292318496,True,0.8470021605,alpha_regime_signed_residual_derivative_diagnostic_only,not_promoted_alpha_regime_diagnostic_only,alpha-regime surface/coupling derivative residual diagnostic only
D0_launch_confidence_weighted_derivative_fit_basis,Cl_delta_r_residual,rudder,delta_r,roll,rudder_roll_coupling,-0.004294737192,-0.004294737192,4358,817,0.01193369096,0.0119272486,0.01286848089,0.01276270234,True,0.845838937,signed_residual_derivative_diagnostic_only,not_promoted_no_replay_neutral_or_closed_loop_gate,surface/coupling derivative residual diagnostic only
