blocker_id,source_run_id,source_file,blocker_scope,family,target_heading_deg,direction_sign,start_condition,updraft_config,wind_fidelity,objective,evidence_status,failure_label,active_limiting_mechanism,claim_implication,recommended_next_stage
evidence_002_00005,002,03_Control/05_Results/09_primitive_library/002/metrics/primitive_evidence_library_s002.csv,primitive_evidence,glide,,1,mid_arena,none,W0,primitive_archive_baseline,evaluated,true_safety_violation,safety_limited,limits baseline primitive envelope claim,stage2_expand_archive
evidence_002_00006,002,03_Control/05_Results/09_primitive_library/002/metrics/primitive_evidence_library_s002.csv,primitive_evidence,glide,,1,mid_arena,U1_single_fan,W1,primitive_archive_baseline,evaluated,true_safety_violation,safety_limited,limits baseline primitive envelope claim,stage2_expand_archive
evidence_002_00007,002,03_Control/05_Results/09_primitive_library/002/metrics/primitive_evidence_library_s002.csv,primitive_evidence,glide,,1,mid_arena,U1_single_fan,W2,primitive_archive_baseline,evaluated,true_safety_violation,safety_limited,limits baseline primitive envelope claim,stage2_expand_archive
evidence_002_00008,002,03_Control/05_Results/09_primitive_library/002/metrics/primitive_evidence_library_s002.csv,primitive_evidence,glide,,1,mid_arena,U4_four_fan,W1,primitive_archive_baseline,evaluated,true_safety_violation,safety_limited,limits baseline primitive envelope claim,stage2_expand_archive
evidence_002_00009,002,03_Control/05_Results/09_primitive_library/002/metrics/primitive_evidence_library_s002.csv,primitive_evidence,glide,,1,mid_arena,U4_four_fan,W2,primitive_archive_baseline,evaluated,true_safety_violation,safety_limited,limits baseline primitive envelope claim,stage2_expand_archive
evidence_002_00015,002,03_Control/05_Results/09_primitive_library/002/metrics/primitive_evidence_library_s002.csv,primitive_evidence,recovery,,1,mid_arena,none,W0,primitive_archive_baseline,evaluated,true_safety_violation,safety_limited,limits baseline primitive envelope claim,stage2_expand_archive
evidence_002_00016,002,03_Control/05_Results/09_primitive_library/002/metrics/primitive_evidence_library_s002.csv,primitive_evidence,recovery,,1,mid_arena,U1_single_fan,W1,primitive_archive_baseline,evaluated,true_safety_violation,safety_limited,limits baseline primitive envelope claim,stage2_expand_archive
evidence_002_00017,002,03_Control/05_Results/09_primitive_library/002/metrics/primitive_evidence_library_s002.csv,primitive_evidence,recovery,,1,mid_arena,U1_single_fan,W2,primitive_archive_baseline,evaluated,true_safety_violation,safety_limited,limits baseline primitive envelope claim,stage2_expand_archive
evidence_002_00018,002,03_Control/05_Results/09_primitive_library/002/metrics/primitive_evidence_library_s002.csv,primitive_evidence,recovery,,1,mid_arena,U4_four_fan,W1,primitive_archive_baseline,evaluated,true_safety_violation,safety_limited,limits baseline primitive envelope claim,stage2_expand_archive
evidence_002_00019,002,03_Control/05_Results/09_primitive_library/002/metrics/primitive_evidence_library_s002.csv,primitive_evidence,recovery,,1,mid_arena,U4_four_fan,W2,primitive_archive_baseline,evaluated,true_safety_violation,safety_limited,limits baseline primitive envelope claim,stage2_expand_archive
